date,OhioAndKentucky,East,DAYTON,AEP,DUQ,DOM,hour
2014/1/1,2910,1842,1819,15441,1655,11481,1
2014/1/1,2853,1808,1797,15123,1586,11415,2
2014/1/1,2816,1795,1765,15001,1555,11363,3
2014/1/1,2810,1789,1754,15001,1532,11436,4
2014/1/1,2829,1799,1766,15034,1526,11614,5
2014/1/1,2854,1838,1797,15177,1551,11960,6
2014/1/1,2953,1878,1847,15524,1552,12334,7
2014/1/1,3030,1880,1890,15900,1588,12508,8
2014/1/1,3024,1918,1888,15983,1602,12559,9
2014/1/1,3032,1856,1929,16015,1636,12322,10
2014/1/1,3024,1752,1978,15892,1678,11846,11
2014/1/1,2998,1658,1989,15599,1702,11428,12
2014/1/1,2958,1579,1961,15170,1697,10990,13
2014/1/1,2925,1505,1919,14765,1693,10573,14
2014/1/1,2834,1417,1879,14523,1700,10344,15
2014/1/1,2808,1406,1851,14434,1710,10357,16
2014/1/1,2866,1462,1895,14774,1738,10805,17
2014/1/1,3115,1612,2033,15892,1854,12033,18
2014/1/1,3216,1749,2093,16485,1860,12381,19
2014/1/1,3170,1751,2080,16433,1853,12456,20
2014/1/1,3152,1773,2049,16376,1823,12325,21
2014/1/1,3066,1743,2011,16151,1763,11949,22
2014/1/1,2920,1704,1940,15687,1681,11429,23
2014/1/2,2780,1636,1869,15201,1598,10828,0
2014/1/2,2664,1562,1817,14853,1520,10478,1
2014/1/2,2611,1522,1787,14822,1485,10328,2
2014/1/2,2587,1479,1762,14814,1471,10330,3
2014/1/2,2619,1498,1777,14955,1474,10491,4
2014/1/2,2709,1502,1841,15324,1500,10885,5
2014/1/2,2905,1577,1954,16045,1584,11656,6
2014/1/2,3140,1721,2130,17357,1713,12632,7
2014/1/2,3312,1768,2275,18276,1808,13284,8
2014/1/2,3360,1750,2323,18349,1834,13315,9
2014/1/2,3422,1784,2373,18231,1875,13246,10
2014/1/2,3513,1765,2433,18436,1901,13129,11
2014/1/2,3563,1862,2478,18431,1909,12771,12
2014/1/2,3614,1952,2502,18436,1920,12435,13
2014/1/2,3674,1999,2518,18518,1917,12320,14
2014/1/2,3728,2090,2520,18342,1937,12235,15
2014/1/2,3755,2168,2510,18256,1925,12388,16
2014/1/2,3830,2306,2550,18540,1972,12833,17
2014/1/2,4030,2434,2693,19531,2077,13627,18
2014/1/2,4173,2531,2782,20052,2118,13658,19
2014/1/2,4162,2572,2743,20115,2096,13464,20
2014/1/2,4087,2565,2695,19965,2062,13161,21
2014/1/2,3993,2522,2623,19632,1990,12586,22
2014/1/2,3837,2437,2514,19177,1895,11865,23
2014/1/3,3687,2417,2420,18575,1808,11311,0
2014/1/3,3553,2404,2316,18181,1719,10896,1
2014/1/3,3481,2378,2291,18049,1704,10958,2
2014/1/3,3485,2378,2262,18134,1676,11134,3
2014/1/3,3494,2387,2276,18250,1678,11580,4
2014/1/3,3610,2456,2337,18723,1707,12375,5
2014/1/3,3796,2584,2449,19428,1773,13595,6
2014/1/3,3983,2735,2620,20500,1890,14965,7
2014/1/3,4164,2790,2755,21314,1976,15924,8
2014/1/3,4215,2778,2765,21460,2004,16064,9
2014/1/3,4147,2619,2744,21237,2027,15910,10
2014/1/3,4079,2485,2701,20865,2019,15653,11
2014/1/3,3979,2328,2660,20298,2051,15311,12
2014/1/3,3891,2179,2603,19754,2032,14931,13
2014/1/3,3811,2109,2546,19404,2023,14492,14
2014/1/3,3753,2007,2477,19045,2004,14214,15
2014/1/3,3695,1916,2425,18896,1972,14136,16
2014/1/3,3737,2033,2455,18978,1995,14630,17
2014/1/3,3964,2223,2591,20262,2098,15969,18
2014/1/3,4139,2400,2699,20947,2124,16307,19
2014/1/3,4084,2474,2673,21039,2084,16223,20
2014/1/3,4033,2485,2634,20953,2050,16219,21
2014/1/3,3954,2459,2569,20642,1998,15846,22
2014/1/3,3830,2383,2484,20108,1915,15446,23
2014/1/4,3694,2335,2374,19496,1822,14959,0
2014/1/4,3531,2260,2279,18978,1740,14693,1
2014/1/4,3451,2297,2213,18703,1695,14573,2
2014/1/4,3400,2307,2169,18542,1666,14645,3
2014/1/4,3395,2292,2164,18525,1650,14874,4
2014/1/4,3420,2296,2171,18632,1644,14960,5
2014/1/4,3465,2346,2208,18796,1677,15362,6
2014/1/4,3516,2343,2265,19297,1710,15811,7
2014/1/4,3607,2406,2333,19746,1756,16121,8
2014/1/4,3629,2414,2345,19853,1787,16118,9
2014/1/4,3626,2243,2357,19326,1805,15240,10
2014/1/4,3567,2167,2343,18733,1800,14512,11
2014/1/4,3465,2029,2308,18032,1779,13782,12
2014/1/4,3387,1854,2266,17260,1777,13065,13
2014/1/4,3254,1796,2202,16680,1755,12442,14
2014/1/4,3199,1704,2146,16132,1733,12148,15
2014/1/4,3144,1649,2087,15907,1719,12005,16
2014/1/4,3167,1651,2091,16131,1742,12485,17
2014/1/4,3385,1789,2199,17210,1840,13694,18
2014/1/4,3543,1942,2298,17930,1858,14047,19
2014/1/4,3523,1959,2261,17774,1848,13950,20
2014/1/4,3465,1967,2217,17677,1851,13771,21
2014/1/4,3385,1959,2152,17442,1813,13393,22
2014/1/4,3251,1894,2036,16812,1740,12795,23
2014/1/5,3098,1814,1930,16120,1663,12102,0
2014/1/5,2930,1756,1835,15602,1582,11565,1
2014/1/5,2834,1701,1769,15308,1553,11143,2
2014/1/5,2784,1667,1734,15037,1515,10929,3
2014/1/5,2731,1632,1713,14934,1502,10821,4
